Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9858056265984655,0.9842796809009855,0.9896201934418495,0.9869427126220445
Naive Bayes,0.9515345268542199,0.9597427346355407,0.9504600141542817,0.9550788194855991
SVM,0.9938618925831202,0.9936395759717315,0.9950460014154282,0.9943422913719944
Random Forest,0.9930946291560102,0.9915433403805497,0.9957537154989384,0.9936440677966102
